index,true_category,neighbor_categories,same_ratio,doc_preview
56,Cell_Phones_and_Accessories,"Electronics, Electronics, Office_Products, Cell_Phones_and_Accessories, Electronics",0.2,"Stylus Pen for HP Envy X360 Convertible 2 in 1 Laptop, EDIVIA Digital Pencil with 1.5mm Ultra Fine Tip Stylus Pen for HP"
61,Electronics,"Office_Products, Office_Products, Office_Products, Office_Products, Office_Products",0.0,Epson WorkForce Pro Wireless All-in-One Inkjet Printer (Renewed) This pre-owned or refurbished product has been professi
111,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Musical_Instruments, Toys_and_Games, Tools_and_Home_Improvement, Office_Products",0.4,Creative Crown Foam Molding | 96 Ft of 3.5 Angelo Foam Crown Molding kit W/precut Corners on end of Lengths 4 Inside & 1
112,Office_Products,"Tools_and_Home_Improvement, Office_Products, Office_Products, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.4,Maps International Medium The World is Art Wall Map - Pink - Pinboard - 24 x 36 The World Is Art is a unique range of wo
121,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive",0.2,Cim-Tek 10 m Resin-Impregnated Cellulose Elmnt for Centurion Fltr Housing 6-pack Cim-Tek 30002 10 m Resin-Impregnated Ce
125,Toys_and_Games,"Toys_and_Games, Automotive, Automotive, Toys_and_Games, Automotive",0.4,Redcat Racing Monte Carlo RC Car 1/10 Scale Fully Licensed 1979 Chevrolet Monte Carlo Lowrider – 2.4Ghz Radio Controlled
137,Electronics,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Satco Durable All Weather Plastic Motion Infrared Security Sensor, Bronze Nuvo Lighting is uniquely, poised to become on"
147,Cell_Phones_and_Accessories,"Cell_Phones_and_Accessories, Electronics, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"ORORO All-New Ultra-Compact Rechargeable Battery Pack for Heated Vests, Heated Jackets and Heated Hoodies Button closure"
163,Toys_and_Games,"Automotive, Automotive, Automotive, Automotive, Automotive",0.0,"amscan Grease T-Birds Jacket 100% Leather Package Includes 1 x Mens Grease T-Birds Costume Jacket, Plus size The black l"
178,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Office_Products, Office_Products, Tools_and_Home_Improvement",0.0,JET Infeed/Outfeed Tables Extend the table size of your JET or sander with these sturdy infeed/outfeed tables. Compatibi
181,Office_Products,"Toys_and_Games, Toys_and_Games, Toys_and_Games, Toys_and_Games, Office_Products",0.2,Really Good Stuff Classroom Go for It Chips – Set of 100 with 50 Unique Messages – Encourage Positive Feelings & Confide
